epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,728.043,1.41354,3.39745,1.81768,1.43509,0,0.48321,0.45333,0.43724,0.27086,0.4894,0.44263,0.43276,0.23465,1.30603,2.5869,1.53356,1.29722,0,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052
60,737.206,1.44893,3.40346,1.83715,1.45698,0,0.4714,0.44947,0.43492,0.27618,0.48678,0.43361,0.43407,0.23911,1.30435,2.59013,1.53592,1.29673,0,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053
61,751.063,1.43231,3.39961,1.81076,1.44873,0,0.46662,0.457,0.44241,0.28058,0.46074,0.45068,0.43681,0.24164,1.30312,2.58983,1.54335,1.30286,0,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
62,769.012,1.42823,3.39409,1.82299,1.44734,0,0.47875,0.47521,0.44807,0.28261,0.47108,0.46512,0.44005,0.2444,1.30344,2.58342,1.53629,1.3042,0,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055
63,777.991,1.43001,3.3744,1.79819,1.43477,0,0.4729,0.50689,0.44821,0.28345,0.46698,0.48786,0.4363,0.24229,1.30193,2.596,1.53116,1.30686,0,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056
64,787.335,1.45455,3.38398,1.81596,1.45455,0,0.50849,0.49433,0.4561,0.28949,0.49714,0.47904,0.44729,0.25033,1.30158,2.59152,1.52199,1.30558,0,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057
65,799.715,1.40232,3.33612,1.79781,1.43446,0,0.50142,0.49992,0.45245,0.28732,0.49013,0.48507,0.44506,0.24832,1.30516,2.58396,1.51714,1.30379,0,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058
66,808.914,1.4173,3.38731,1.78017,1.42976,0,0.49123,0.51401,0.45501,0.29334,0.49285,0.50177,0.44631,0.25399,1.29687,2.56713,1.51933,1.29705,0,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
67,818.307,1.41165,3.32815,1.78269,1.42989,0,0.48408,0.51782,0.45847,0.29342,0.47498,0.50036,0.443,0.2522,1.29708,2.55203,1.51758,1.29895,0,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059
68,827.356,1.39835,3.3656,1.77568,1.42056,0,0.48943,0.51742,0.46154,0.29122,0.47879,0.49758,0.44871,0.24582,1.3058,2.57788,1.51889,1.30088,0,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606
